time limit,dim,keep,num_feat,num_item,num_data_train,jobtype,step_mu,num_iter_mu,method,lr,mean_relat_eval,median_relat_eval,std_relat_eval,mean_relat_test,median_relat_test,std_relat_test
60,10,1,12,100,200,SG,5,10,SPOPlus,0.001,0.24613307416439056,0.2437395602464676,0.049478888511657715,0.24265161156654358,0.23706378042697906,0.05716605857014656
600,10,1,12,100,200,SG,5,10,SPOPlus,0.001,0.1287112981081009,0.12269938737154007,0.04264204949140549,0.11845351755619049,0.113772451877594,0.03890366107225418
1800,10,1,12,100,200,SG,5,10,SPOPlus,0.001,0.12589377164840698,0.11654135584831238,0.04215703159570694,0.11545424908399582,0.1108374372124672,0.03770355507731438
3600,10,1,12,100,200,SG,5,10,SPOPlus,0.001,0.12119102414697408,0.11132478713989258,0.0411395171405343,0.11148044707626105,0.10650118812918663,0.03635192212085756
60,10,1,12,100,200,SG,1,10,IMLE,0.001,0.33303532004356384,0.32380953431129456,0.06775473058223724,0.34457647800445557,0.3414634168148041,0.06318511813879013
600,10,1,12,100,200,SG,1,10,IMLE,0.001,0.33280056715011597,0.32575756311416626,0.06711702048778534,0.34412503242492676,0.34069401025772095,0.06280700117349625
1800,10,1,12,100,200,SG,1,10,IMLE,0.001,0.33280056715011597,0.32575756311416626,0.06711702048778534,0.34412503242492676,0.34069401025772095,0.06280700117349625
3600,10,1,12,100,200,SG,1,10,IMLE,0.001,0.33280056089162824,0.32647325098514557,0.06678059339226465,0.34412506155669687,0.34080155193805695,0.06277558928900757
60,10,1,12,100,200,SG,5,20,SPOPlus,0.001,0.2810666561126709,0.280303031206131,0.052950914949178696,0.27468010783195496,0.2704402506351471,0.05864979699254036
600,10,1,12,100,200,SG,5,20,SPOPlus,0.001,0.1980806589126587,0.1964285671710968,0.046243540942668915,0.19227752089500427,0.18987341225147247,0.046971503645181656
1800,10,1,12,100,200,SG,5,20,SPOPlus,0.001,0.19675371050834656,0.1941031962633133,0.046470437198877335,0.19048599898815155,0.18721461296081543,0.0466204509139061
3600,10,1,12,100,200,SG,5,20,SPOPlus,0.001,0.19297700956463815,0.1923176720738411,0.04365279744072116,0.187155930634588,0.18386578559875488,0.04574402779022769
60,10,1,12,100,200,SG,1,20,IMLE,0.001,0.35137656331062317,0.3484848439693451,0.056264180690050125,0.34676072001457214,0.3426573574542999,0.06073711812496185
600,10,1,12,100,200,SG,1,20,IMLE,0.001,0.34988316893577576,0.3472803235054016,0.05610852316021919,0.3449091911315918,0.341317355632782,0.05999120697379112
1800,10,1,12,100,200,SG,1,20,IMLE,0.001,0.34988316893577576,0.3472803235054016,0.05610852316021919,0.3449091911315918,0.341317355632782,0.05999120697379112
3600,10,1,12,100,200,SG,1,20,IMLE,0.001,0.3498831613361835,0.3474682867527008,0.05582727392693092,0.34490918366611006,0.34139038622379303,0.059961205203235224
60,10,1,12,100,200,SG,10,10,SPOPlus,0.001,0.20309299230575562,0.19825072586536407,0.051386382430791855,0.19594921171665192,0.18784530460834503,0.053902652114629745
600,10,1,12,100,200,SG,10,10,SPOPlus,0.001,0.10333681106567383,0.09649122506380081,0.03673858940601349,0.0971951112151146,0.08794788271188736,0.04200053587555885
1800,10,1,12,100,200,SG,10,10,SPOPlus,0.001,0.10085766017436981,0.09243697673082352,0.03608926013112068,0.09466065466403961,0.08493150770664215,0.04099658504128456
3600,10,1,12,100,200,SG,10,10,SPOPlus,0.001,0.09803673770278692,0.09207773581147194,0.034522754609622466,0.09151029159035534,0.082151610404253,0.038764873785384645
60,10,1,12,100,200,SG,1,10,SPOPlus,0.001,0.3279173672199249,0.3181818127632141,0.05450272932648659,0.3322800099849701,0.328125,0.06117962300777435
600,10,1,12,100,200,SG,1,10,SPOPlus,0.001,0.16170550882816315,0.1572580635547638,0.03286955505609512,0.1638641655445099,0.16112956404685974,0.03459712117910385
1800,10,1,12,100,200,SG,1,10,SPOPlus,0.001,0.16037103533744812,0.15591397881507874,0.03302820399403572,0.1627173274755478,0.16015625,0.034204065799713135
3600,10,1,12,100,200,SG,1,10,SPOPlus,0.001,0.15988893277943134,0.15590375661849976,0.03268187918178193,0.16202891648560763,0.15926385670900345,0.034079002208837396
60,10,1,12,100,200,SG,10,20,SPOPlus,0.001,0.2190222144126892,0.21680216491222382,0.046445976942777634,0.21722036600112915,0.21404682099819183,0.049856457859277725
600,10,1,12,100,200,SG,10,20,SPOPlus,0.001,0.17613635957241058,0.17403315007686615,0.04596424847841263,0.17082016170024872,0.16862745583057404,0.044221311807632446
1800,10,1,12,100,200,SG,10,20,SPOPlus,0.001,0.17327354848384857,0.1672932356595993,0.04412074759602547,0.1670021414756775,0.1656314730644226,0.04316399246454239
3600,10,1,12,100,200,SG,10,20,SPOPlus,0.001,0.16687598429620265,0.1645015850663185,0.041972270872077465,0.1619213410615921,0.15848025679588318,0.0417133424345667
60,10,1,12,100,200,SG,1,20,SPOPlus,0.001,0.32629624009132385,0.3205128312110901,0.05601868778467178,0.3240388035774231,0.3215547800064087,0.05659890174865723
600,10,1,12,100,200,SG,1,20,SPOPlus,0.001,0.22187961637973785,0.21995465457439423,0.041772257536649704,0.21892619132995605,0.2163265347480774,0.044405777007341385
1800,10,1,12,100,200,SG,1,20,SPOPlus,0.001,0.20939327776432037,0.20621469616889954,0.03964269161224365,0.20403604209423065,0.2016129046678543,0.041821643710136414
3600,10,1,12,100,200,SG,1,20,SPOPlus,0.001,0.20887804344296457,0.20664270222187042,0.03930600365377271,0.20370302495732903,0.20150672644376755,0.041705208316610384
60,10,1,12,100,200,SG,20,20,SPOPlus,0.001,0.21877622604370117,0.21030043065547943,0.05485762283205986,0.21882878243923187,0.21341463923454285,0.053081899881362915
600,10,1,12,100,200,SG,20,20,SPOPlus,0.001,0.08006615936756134,0.07622504234313965,0.027892552316188812,0.07544498890638351,0.07000000029802322,0.029345974326133728
1800,10,1,12,100,200,SG,20,20,SPOPlus,0.001,0.07765547931194305,0.07537688314914703,0.02742093987762928,0.0736885666847229,0.06792452931404114,0.02835146337747574
3600,10,1,12,100,200,SG,20,20,SPOPlus,0.001,0.07666253980249166,0.07404131069779396,0.02714678148157999,0.07210726824682206,0.06716418266296387,0.027190224332435387
60,10,1,12,100,200,SG,10,10,IMLE,0.001,0.3395046591758728,0.3349056541919708,0.05731789395213127,0.3418460786342621,0.33855798840522766,0.0628744438290596
600,10,1,12,100,200,SG,10,10,IMLE,0.001,0.33897531032562256,0.3327067792415619,0.06390859186649323,0.34028738737106323,0.3372780978679657,0.06195447966456413
1800,10,1,12,100,200,SG,10,10,IMLE,0.001,0.33897531032562256,0.3327067792415619,0.06390859186649323,0.34028738737106323,0.3372780978679657,0.06195447966456413
3600,10,1,12,100,200,SG,10,10,IMLE,0.001,0.33897525534033773,0.33302006125450134,0.06358824800792454,0.3402873731851578,0.3373507112264633,0.06192349311917851
60,10,1,12,100,200,SG,20,10,SPOPlus,0.001,0.1566309779882431,0.15000000596046448,0.04751016944646835,0.1549362987279892,0.14814814925193787,0.04694513604044914
600,10,1,12,100,200,SG,20,10,SPOPlus,0.001,0.09297884255647659,0.08517350256443024,0.03732383996248245,0.08767741173505783,0.08080808073282242,0.03730766475200653
